id,price_doc
30474,102288264.0
30475,75256240.0
30476,324159360.0
30477,0.0
30478,55177896.0
30479,1030561536.0
30480,198684080.0
30481,32490810.0
30482,158083984.0
30483,0.0
30484,853251136.0
30485,55176940.0
30486,0.0
30487,30448876.0
30488,15889788.0
30489,95654576.0
30490,352039456.0
30491,1042533184.0
30492,30465064.0
30493,866490304.0
30494,55188144.0
30495,800307072.0
30496,442407488.0
30497,69731936.0
30498,174253248.0
30499,727876480.0
30500,339621120.0
30501,486855456.0
30502,56438720.0
30503,1204147712.0
30504,424118816.0
30505,394481056.0
30506,0.0
30507,55472048.0
30508,198687952.0
30509,315335424.0
30510,853266624.0
30511,928728896.0
30512,394279520.0
30513,198684944.0
30514,0.0
30515,853264704.0
30516,9738351.0
30517,1030577216.0
30518,874690944.0
30519,442510880.0
30520,453171168.0
30521,699512960.0
30522,213653584.0
30523,631841216.0
30524,530500960.0
30525,2423488256.0
30526,55408164.0
30527,111668448.0
30528,335153632.0
30529,492427360.0
30530,725168576.0
30531,933130816.0
30532,28769954.0
30533,816021888.0
30534,55192468.0
30535,853266752.0
30536,95655352.0
30537,741953216.0
30538,645837952.0
30539,1900056064.0
30540,853271424.0
30541,1698652288.0
30542,0.0
30543,390595584.0
30544,703560192.0
30545,1647586944.0
30546,112120048.0
30547,453175584.0
30548,95646648.0
30549,75240824.0
30550,394351648.0
30551,37698096.0
30552,0.0
30553,1455244416.0
30554,328293728.0
30555,198697408.0
30556,1030566208.0
30557,525083712.0
30558,394466464.0
30559,1057791040.0
30560,1233397120.0
30561,817773632.0
30562,1036162240.0
30563,1900025856.0
30564,501711296.0
30565,33544164.0
30566,95666360.0
30567,0.0
30568,1754875520.0
30569,1116299392.0
30570,664102208.0
30571,339604608.0
30572,55410992.0
30573,853260224.0
30574,648489856.0
30575,352415264.0
30576,30450034.0
30577,453994592.0
30578,0.0
30579,776823360.0
30580,941358336.0
30581,258357776.0
30582,1150080640.0
30583,55190244.0
30584,197337056.0
30585,0.0
30586,364069248.0
30587,111664120.0
30588,921917632.0
30589,497489216.0
30590,405081056.0
30591,360766144.0
30592,444980000.0
30593,442404128.0
30594,1900060032.0
30595,1134801280.0
30596,0.0
30597,853260032.0
30598,853269120.0
30599,710772992.0
30600,1900035840.0
30601,499409696.0
30602,0.0
30603,853283840.0
30604,604246400.0
30605,853257344.0
30606,771683904.0
30607,771092352.0
30608,0.0
30609,95650240.0
30610,54534924.0
30611,198686384.0
30612,412999168.0
30613,453187936.0
30614,358302944.0
30615,427986656.0
30616,198691056.0
30617,309744896.0
30618,231911120.0
30619,1900030592.0
30620,0.0
30621,1186219008.0
30622,2027374464.0
30623,350901152.0
30624,28784176.0
30625,213648016.0
30626,1078227456.0
30627,272323328.0
30628,853257536.0
30629,256565296.0
30630,1900027904.0
30631,55178648.0
30632,0.0
30633,413689696.0
30634,511580032.0
30635,853270656.0
30636,107567976.0
30637,853264000.0
30638,712431168.0
30639,457919232.0
30640,32495602.0
30641,198721040.0
30642,153935504.0
30643,433744352.0
30644,853269312.0
30645,107574544.0
30646,174455808.0
30647,52402524.0
30648,1219920768.0
30649,0.0
30650,641165888.0
30651,0.0
30652,32503022.0
30653,339268096.0
30654,0.0
30655,1809757824.0
30656,95642720.0
30657,1004696192.0
30658,445772832.0
30659,55471272.0
30660,342684064.0
30661,820843456.0
30662,338901824.0
30663,261096784.0
30664,1880903936.0
30665,95660712.0
30666,0.0
