id,price_doc
30474,3.54749129314e+21
30475,6.46301067624e+20
30476,1.9381160982e+21
30477,3.40052263468e+20
30478,6.5390294955e+20
30479,1.582149641e+22
30480,5.13420365945e+21
30481,8.0681763869e+20
30482,4.73383549377e+22
30483,6.45815204396e+20
30484,5.19511437606e+21
30485,6.5390294955e+20
30486,6.46350884114e+20
30487,9.09528305922e+21
30488,1.00395787887e+20
30489,8.07565879724e+20
30490,4.84021188694e+21
30491,5.3426661408e+22
30492,9.09529969671e+21
30493,5.22624967438e+22
30494,6.5390294955e+20
30495,6.77295237922e+21
30496,3.23150731216e+21
30497,4.72517181941e+21
30498,4.09420710723e+21
30499,4.23130262719e+21
30500,3.98205748803e+21
30501,4.39624786068e+21
30502,1.65587111149e+21
30503,4.63431634966e+21
30504,7.79271355114e+21
30505,1.43888800929e+21
30506,3.00144599307e+20
30507,6.57283583705e+20
30508,5.13420365945e+21
30509,3.81701730879e+21
30510,5.19511437606e+21
30511,2.7109064492e+21
30512,1.43898403643e+21
30513,5.13420365945e+21
30514,3.00135640828e+20
30515,5.19511438114e+21
30516,6.69137514094e+20
30517,1.5821496405e+22
30518,1.46615873037e+22
30519,5.43749142756e+21
30520,2.2133521439e+21
30521,2.47400065929e+21
30522,1.10471262513e+21
30523,7.12849544407e+21
30524,6.03206089826e+21
30525,4.24406679636e+22
30526,6.57248650744e+20
30527,8.07965618785e+20
30528,3.38824098236e+21
30529,5.954497565e+21
30530,8.18822408313e+21
30531,7.10711664822e+21
30532,8.0640103011e+20
30533,5.80844209004e+21
30534,6.5390294955e+20
30535,5.19511437606e+21
30536,8.07565879724e+20
30537,3.19654169559e+21
30538,4.80608875134e+21
30539,2.28703569981e+22
30540,5.19511437606e+21
30541,1.21442944046e+22
30542,3.00144599307e+20
30543,7.93344522692e+21
30544,6.31165056946e+22
30545,1.51066283831e+22
30546,8.08115881126e+20
30547,2.2133521439e+21
30548,8.07564784513e+20
30549,6.46290064049e+20
30550,3.30168769472e+21
30551,6.46210963235e+20
30552,3.00134358195e+20
30553,1.28846103465e+22
30554,1.21008496133e+21
30555,5.13420365945e+21
30556,1.582149641e+22
30557,8.12171614656e+21
30558,1.43888812104e+21
30559,6.82548603724e+21
30560,5.22353020057e+22
30561,3.58833327892e+21
30562,7.70982544567e+21
30563,2.28703569981e+22
30564,8.32266049449e+21
30565,9.09515246235e+21
30566,8.0755453832e+20
30567,3.00144599307e+20
30568,1.6106956873e+22
30569,3.51584227329e+21
30570,7.12827820485e+21
30571,3.98205748803e+21
30572,6.57248650744e+20
30573,5.19511437606e+21
30574,4.43410847451e+21
30575,3.88508634428e+21
30576,9.09529328509e+21
30577,2.12108832223e+21
30578,3.00134363275e+20
30579,3.37736799765e+21
30580,3.74767421785e+21
30581,6.40791814336e+21
30582,6.48578306154e+21
30583,6.5390294955e+20
30584,8.24230374667e+20
30585,6.46225484642e+20
30586,1.43445709932e+21
30587,8.08044816686e+20
30588,5.25063866832e+22
30589,2.90513981455e+21
30590,6.30873341618e+21
30591,4.50895941727e+21
30592,4.49372466601e+21
30593,3.23150731216e+21
30594,2.28703467621e+22
30595,8.44412714347e+21
30596,2.25512564092e+20
30597,5.19511437606e+21
30598,5.19511437606e+21
30599,9.14532311928e+21
30600,2.28703569981e+22
30601,7.41302174571e+21
30602,3.00134358195e+20
30603,5.19511437606e+21
30604,1.64702466453e+21
30605,5.19511438114e+21
30606,6.32140872221e+21
30607,6.21674935509e+21
30608,6.46969725576e+20
30609,8.07564784513e+20
30610,1.65587325061e+21
30611,5.13420365945e+21
30612,6.13835018038e+21
30613,2.21335213882e+21
30614,3.25986222723e+21
30615,4.77580780438e+21
30616,5.13420365945e+21
30617,2.60746999222e+21
30618,5.74152107713e+21
30619,2.28703569981e+22
30620,3.00134358195e+20
30621,4.82834335308e+22
30622,2.09516920218e+22
30623,6.24900581596e+20
30624,8.06390794078e+20
30625,1.10471262513e+21
30626,7.62025491101e+21
30627,5.29218589101e+21
30628,5.19511437606e+21
30629,4.09409045034e+21
30630,2.28703569981e+22
30631,6.5390294955e+20
30632,3.40052268548e+20
30633,5.46880572036e+22
30634,4.70877556361e+21
30635,5.19511437606e+21
30636,3.54075030201e+21
30637,5.19511437606e+21
30638,7.17252200129e+21
30639,3.96807372791e+21
30640,8.06815935569e+20
30641,5.13419341834e+21
30642,2.84365237306e+21
30643,1.95761744832e+21
30644,5.19511437606e+21
30645,3.54075030201e+21
30646,7.9606704717e+20
30647,3.38801548644e+20
30648,5.87478636252e+21
30649,3.00144599307e+20
30650,2.10436566722e+21
30651,3.00144599307e+20
30652,8.06805689376e+20
30653,2.63651046818e+21
30654,7.87145283707e+20
30655,1.88170788646e+22
30656,8.07565879724e+20
30657,3.71928618987e+21
30658,6.4115784777e+21
30659,6.57252874709e+20
30660,6.07373359025e+21
30661,4.95698551567e+21
30662,1.15484120495e+21
30663,5.64953123749e+21
30664,1.76705655749e+22
30665,8.07564784513e+20
30666,3.00144599307e+20
30667,6.46361212361e+20
30668,2.11736551215e+21
30669,4.73384581321e+22
30670,1.03297500165e+20
30671,4.01679776287e+21
30672,1.88170788748e+22
30673,6.58760057282e+21
30674,1.34816149504e+22
30675,3.00144599307e+20
30676,1.59710657087e+21
30677,8.26848090275e+20
30678,8.09310027394e+21
30679,6.0169944927e+21
30680,3.23150731216e+21
30681,1.01812784093e+20
30682,2.84365237306e+21
30683,5.19511437606e+21
30684,1.48622969047e+22
30685,6.55642937698e+21
30686,5.19512462225e+21
30687,6.53892703357e+20
30688,6.46290826511e+20
30689,2.18798591546e+22
30690,5.87478635744e+21
30691,4.76686929897e+21
30692,4.27849406928e+21
30693,3.47188108096e+22
30694,5.51963051836e+21
30695,6.30664006398e+21
30696,1.23871057856e+22
30697,1.71974504201e+22
30698,3.35867488311e+21
30699,6.64328621816e+21
30700,6.57248650744e+20
30701,5.19511437606e+21
30702,3.48130502715e+21
30703,7.87135042594e+20
30704,7.70981520964e+21
30705,5.43111586677e+22
30706,5.87478636252e+21
30707,3.00144599307e+20
30708,8.18350215343e+21
30709,5.19511437606e+21
30710,3.54713633137e+21
30711,7.87135042594e+20
30712,8.07935727499e+20
30713,1.53836310541e+22
30714,6.30869589982e+21
30715,1.02513594426e+20
30716,5.19511437606e+21
30717,6.95214819349e+21
30718,6.61545218913e+21
30719,2.63650023215e+21
30720,5.56164878833e+21
30721,1.07440501968e+22
30722,8.07756092467e+21
30723,8.05435843529e+20
30724,5.16440440594e+21
30725,3.3324302192e+21
30726,4.80659723052e+21
30727,5.19511438114e+21
30728,2.10968582212e+21
30729,3.00144599307e+20
30730,6.79477655611e+21
30731,5.13419341834e+21
30732,3.94074994775e+21
30733,2.26749689769e+21
30734,5.16440440086e+21
30735,6.69137514094e+20
30736,2.28703467621e+22
30737,9.41982036611e+21
30738,6.44070850277e+21
30739,3.00149673341e+20
30740,6.57242638677e+20
30741,2.63650023215e+21
30742,5.13420365945e+21
30743,6.57238409631e+20
30744,1.15484120495e+21
30745,1.79170589586e+21
30746,6.69137514094e+20
30747,1.40503526507e+22
30748,3.98205749311e+21
30749,7.02296659307e+21
30750,4.92453897779e+20
30751,6.6879047466e+20
30752,2.63650022707e+21
30753,2.2133521439e+21
30754,6.63016248721e+21
30755,3.00144599307e+20
30756,2.28703569981e+22
30757,3.25655064633e+21
30758,5.89411516088e+21
30759,2.45248630751e+21
30760,3.00144599307e+20
30761,6.49614922035e+21
30762,8.0681763869e+20
30763,7.70981520964e+21
30764,8.0755453832e+20
30765,3.54515489795e+21
30766,2.0109480698e+20
30767,8.38233665882e+21
30768,4.53282128652e+21
30769,3.54080961415e+21
30770,8.07564784513e+20
30771,1.65587111657e+21
30772,6.03237291708e+21
30773,5.13420365945e+21
30774,5.13419341834e+21
30775,4.65700050963e+21
30776,4.23181597806e+21
30777,8.0755454848e+20
30778,7.41901144406e+21
30779,4.34218503725e+21
30780,5.93000484485e+21
30781,5.19511438114e+21
30782,4.73388839609e+22
30783,8.07565879724e+20
30784,7.87145283707e+20
30785,4.2874348697e+21
30786,5.13420365945e+21
30787,5.13420365945e+21
30788,8.07564784513e+20
30789,4.72978973389e+21
30790,4.58562991672e+22
30791,5.16440440086e+21
30792,5.16440440086e+21
30793,1.51364251024e+22
30794,1.07153290786e+22
30795,7.09401171819e+21
30796,3.54056641937e+21
30797,7.70981520964e+21
30798,1.01811582977e+20
30799,4.72704731407e+21
30800,8.61403081881e+21
30801,5.13420365945e+21
30802,5.54911180537e+21
30803,6.46215238449e+20
30804,6.46351774457e+20
30805,1.73401265423e+22
30806,5.16440440086e+21
30807,4.40850510953e+21
30808,8.15189372659e+21
30809,7.87135047674e+20
